Course Code,Course Title,Skills and Competencies,Technical Skills,Power Skills,Programming Language and Digital Tools
CMPSC 151,Computer Networks,"Network fundamentals, Communication systems understanding, Network topology design, Network engineering basics, OSI and TCP/IP reference model analysis, IPv4 and IPv6 addressing and configuration, Subnetting and VLSM (Variable Length Subnet Masking), ICMP utilization, Static and dynamic routing configuration, Routing protocol classification, OSPF protocol configuration, Ethernet protocol understanding, VLAN principles and configuration, Inter-VLAN routing implementation, Layer 3 communication troubleshooting, Network design for WAN and LAN, Data encapsulation and decapsulation processes, Basic cybersecurity awareness in network configurations, Critical thinking, Problem solving, Logical reasoning, Innovation and creativity, Analytical thinking, Collaboration, communication, detail oriented, Discipline and time management, Responsibility and ethical conduct, Cisco Packet Tracer, Wireshark","cybersecurity, network configuration, network design, routing, troubleshooting","analytical, collaboration, communication, creativity, critical thinking, detail oriented, discipline, innovation, logical reasoning, logical thinking, management, problem solving, responsibility, time management",".net, cisco packet tracer, wireshark"
CMPSC 162,Artificial Intelligence,"Artificial Intelligence fundamentals, State space search, Heuristic search techniques, Knowledge representation and logic, Symbol-based Artificial Intelligence, Connectionist models, Genetic algorithms, Emergent systems, Strong method problem solving, Reasoning in uncertain environments, Machine learning, Automated reasoning, Natural language understanding, Intelligent agent architecture, Logic programming for Artificial Intelligence, Artificial Intelligence problem formulation, AI system design and evaluation, Application of Artificial Intelligence in robotics and expert systems, Critical thinking, Logical reasoning, Problem solving, Creativity, innovation, Ethical awareness, Social responsibility in technology, Communication and presentation skills, Openness to new ideas, Analytical decision making, Collaboration, Research and reporting, Self-directed learning, Python, Java, C++, Prolog
","algorithms, artificial intelligence, machine learning, programming, robotics","analytical, collaboration, communication, creativity, critical thinking, decision making, innovation, logical reasoning, problem solving, research, responsibility","c++, intellij, java, prolog, python"
CMPSC 173,Modeling & Simulation,"Modeling and Simulation, Monte Carlo Simulation, Discrete Event Simulation, Continous Simulation, Agent Based Simulation, Mathematical and Analytical Modeling, Simulation Methodology, Programming, Critical Thinking, Problem Solving, Analytical Thinking, Decision Making, Innovation, Creativity, Collaboration, Communication, Time Management, Python, C++, Java, MATLAB, Simulink, Arena","modeling, programming, simulation","analytical, collaboration, communication, creativity, critical thinking, decision making, innovation, logical thinking, management, problem solving, time management","arena, c++, java, matlab, python, simulink"
CMPSC 195,Special Topics- Digital Entrepreneurship,"Digital Entrepreneurship, Digital business design, Business model canvas creation, Digital product development, Application Development, Web Development, Revenue model mapping, Digital business hypothesis testing, Minimal Viable Product creation, Web Development, Website building and hosting, Plugin installation and configuration, Web analytics setup and reporting, Conversion goal tracking, Usability testing, Customer journey mapping, Search Engine Optimization, Internal and external SEO implementation, Content strategy, Customer acquisition strategy, Market research, Domain name setup, A/B testing, Performance analysis, Entrepreneurial thinking, Innovation, creativity, Critical thinking, Problem-solving, Strategic planning, Self-awareness, Logical thinking, Resourcefulness, Collaboration, Communication and presentation skills, Digital literacy, Analytical thinking, User experience sensitivity, Google Analytics, Domain registrars, Web hosting platforms, WordPress, SEO tools, Arduino kit, Design tools","application development, digital entrepreneurship, user experience design, web development","analytical, collaboration, communication, creativity, critical thinking, innovation, logical thinking, problem solving, research, resourcefulness","arduino, canva, wordpress"
CMPSC 200A,Thesis Proposal,"Research topic identification, Problem statement formulation, Review of related literature, Gap analysis in existing technologies, Research objective and question formulation, Scope and delimitation definition, Theoretical framework design, Conceptual framework mapping, Algorithm selection or model justification, Proposed system architecture design, Dataset sourcing and evaluation plan, Methodology design and justification, Initial prototyping or simulation planning, Technical documentation and formatting, Critical thinking, Analytical reasoning, Research planning and organization, Communication, Clarity in goal setting, Responsiveness to critique, Collaboration and group decision-making, Ethical awareness in research, Time management, Draw.io, Lucidchart, Visual Paradigm, Turnitin","algorithms, network design, prototyping, simulation, system architecture","analytical, clarity, collaboration, communication, critical thinking, decision making, documentation, logical reasoning, management, organization, research, time management","draw.io, lucidchart, rest, visual paradigm"
CMPSC 112,Computer Programming II,"Array manipulation, Multidimensional array handling, String operations, Pointer arithmetic, Dynamic memory allocation, Structure creation and nesting, Bit-fields and unions, Enumerations, Type definitions for portability, File input output, Sequential file handling, Random file access, Data abstraction using user-defined types, Debugging and code testing, Function passing with arrays and pointers, Critical thinking, Problem solving, Innovation, creativity, Analytical skills, communication, detail oriented, Code presentation skills, Time management, Collaboration, teamwork, C programming, Dev-C++ IDE, C++ programming


","code testing, debugging, programming","analytical, collaboration, communication, creativity, critical thinking, detail oriented, innovation, management, problem solving, teamwork, time management","c, c++"
CMPSC 113,Object Oriented Programming,"Object-Oriented Programming  Concepts, Class and Method Definition, Encapsulation and Information Hiding, Inheritance and Polymorphism, Dynamic Binding, User Interface Design, Event-Driven Programming, Static Methods and Variables, Method Overloading and Constructors, Application Development and Debugging, Software Design Using Object Oriented Programming Principles, Critical Thinking, Problem Solving, Innovative Thinking, Collaboration, Communication, detail oriented, Independent Learning, Time Management, Technical Documentation, Creativity, Java, VSCode","application development, debugging, object oriented programming, programming, software design, user interface design","collaboration, communication, creativity, critical thinking, detail oriented, documentation, management, problem solving, time management","java, vs code"
CMPSC 117,Web Development,"Web Development, HTML, CSS, JavasCript, jQuery, AJAX, PHP, XAMPP, MySQL, Databases, Backend Development, Frontend Development, API Integration, Software Development, Scripting, Debugging, Code Organization, Logical Thinking, Analytical Thinking, Efficiency, Discipline, Creativity, Innovation, Problem Solving, Time Management, Collaboration, Communication","api integration, backend development, debugging, frontend development, game development, nosql databases, scripting, software development, web development","analytical, collaboration, communication, creativity, discipline, efficiency, innovation, logical thinking, management, organization, problem solving, time management","ajax, css, html, java, javascript, mysql, php, xampp"
CMPSC 122,Computer Organization and Assembly Language,"Computer organization fundamentals, Computer Architecture vs. organization differentiation, CPU architecture and performance analysis, PC component identification and interaction, Processor instruction execution understanding, Memory hierarchy comprehension (main memory, cache, addressing), Assembly language programming, Register-level programming (segment, pointer, base, index, general purpose, flag registers), Addressing modes and memory access schemes, Cache memory design (mapping, replacement, write policies), Procedure and macro implementation in assembly, Emulator-based programming and debugging, Logical reasoning, Systematic thinking, Analytical problem solving, Time management, Self-reliance, collaboration, Resourcefulness, Academic integrity,communication, Assembly language, Emulator","computer architecture, computer organization, debugging, programming","analytical, collaboration, communication, integrity, logical reasoning, management, organization, problem solving, resourcefulness, systematic thinking, time management","assembly, emulator"
CMPSC 133,Design & Analysis of Algorithms,"Mathematical induction, Summation notation and recursion, Algorithm complexity analysis, Memory complexity analysis, Sorting algorithm implementation, Binary and multiway search trees, Graph algorithm analysis, Algorithm design strategies, Data abstraction, Code-based performance evaluation, Logical thinking, Analytical reasoning, Problem solving, detail oriented, Critical thinking, Strategic decision-making, Organization, collaboration, Technical communication, General-to-specific reasoning, Day-to-day pattern recognition?, C++, Code simulation tools, Graph visualization tools","algorithms, simulation, virtualization","analytical, collaboration, communication, critical thinking, decision making, detail oriented, logical reasoning, logical thinking, organization, problem solving",c++
CMPSC 135,Automata Theory & Languages,"Automata theory and Languages, Finite automata design, Epsilon-NFA transformation, DFA minimization and regular expression conversion, Regular language identification and closure properties, Context-free grammar construction and analysis, Parse tree construction, Pushdown automata design, PDA-CFG equivalence analysis, Chomsky Normal Form conversion, Pumping Lemma, Decision problem solving for CFGs, Turing machine design and simulation, Language decidability analysis, Computational complexity classification, Lexical analysis foundations, Pattern recognition using automata, Syntax analysis simulation?, Critical thinking, Problem solving, Analytical reasoning, Innovation and creativity, Communication and reporting, Self-directed learning, Academic integrity, Collaboration, Time management, Ethical responsibility, Research-based reasoning, Formal grammar simulation tools, Logic-based modeling platforms, Diagramming tools, Draw.io, Lucidchart","modeling, simulation","analytical, collaboration, communication, creativity, critical thinking, innovation, integrity, logical reasoning, management, problem solving, research, responsibility, time management","draw.io, lucidchart"
CMPSC 136,Quantitative Methods for Computer Science,"Descriptive statistics, Qualitative and quantitative data classification, Frequency distribution table creation, Graphical data representation, Measures of location, Measures of variation, Counting techniques, Probability theory and rules, Conditional probability, BayesÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ Theorem, Discrete probability distributions, Continuous probability distributions, Normal approximation to binomial, Sampling methods, Central Limit Theorem application, Sampling distributions, Confidence interval computation, Hypothesis testing, Type I and Type II errors, ANOVA, Simple linear regression modeling and error computation?, Analytical thinking, Logical reasoning, Critical thinking, Data-driven decision making, detail oriented, Communication and documentation skills, Statistical interpretation, collaboration, Time management, Problem solving, Academic integrity, Statistical analysis tools
","modeling, routing, statistical analysis","analytical, collaboration, communication, confidence, critical thinking, decision making, detail oriented, documentation, integrity, logical reasoning, logical thinking, management, problem solving, time management",
CMPSC 138,Compiler Design,"Compiler Design, Compiler construction, Lexical analysis, Syntax analysis, Semantic analysis, Intermediate code generation, Code optimization, Code generation, Parsing techniques, Grammar transformation, Symbol table management, Type checking, Abstract syntax tree construction, Assembly-level translation, Register allocation, Instruction scheduling, Error detection and recovery, Critical thinking, Problem solving, Innovation and creativity, Analytical reasoning, Precision and detail oriented, Logical thinking, Systematic approach to debugging and optimization, Communication, Assembly language, C, C++","compiler design, debugging","analytical, communication, creativity, critical thinking, detail oriented, innovation, logical reasoning, logical thinking, management, problem solving","assembly, c, c++"
CMPSC 139,Operations Research,"Linear Programming, Integer Programming, Mathematical Modeling, Formulation of Optimization Problems, Problem Solving using the Simplex Method, Sensitivity Analysis, Transportation and Assignment Models, Graphical and Analytical Solution Techniques, Operations Research Modeling, Analytical Thinking, Decision Making, Logical Reasoning, Strategic Planning, Critical Thinking, Time Management, Collaboration, Teamwork, Communication of Complex Ideas, Python, R, Matlab","modeling, programming","analytical, collaboration, communication, critical thinking, decision making, logical reasoning, logical thinking, management, problem solving, research, teamwork, time management","matlab, python, r"
CMPSC 146,Software Engineering,"Software engineering principles, Software development life cycle, Agile and traditional methodologies, UML modeling, Requirements analysis and management, Process modeling, Business model engineering, Software architecture development and deployment, Software verification and validation, Software quality assurance, Quality standards and process improvement, Software documentation and reporting, Integration of data science in software development, Ethical software design and analysis, Emerging trends in software engineering, Analytical thinking, Problem solving, Professionalism, collaboration, Communication, Project planning, Leadership, Work ethic, Adaptability to new trends, Ethical awareness, Time management, Creative innovation, Self-management, Critical thinking, UML tools, Lucidchart, Visual Paradigm","data science, game development, modeling, quality assurance, requirements analysis, software design, software development, software development life cycle, software engineering, software testing, web development","adaptability, analytical, collaboration, communication, critical thinking, documentation, innovation, leadership, logical thinking, management, problem solving, professionalism, time management, work ethic","lucidchart, uml, visual paradigm"
CMPSC 147,Information Assurance and Security,"Information assurance implementation, CIA Triad, MSR model application, IAAA principle, Threat and vulnerability analysis, Risk assessment and mitigation, Security policy development, Security blueprint formulation, Cryptographic techniques, Batch scripting, Network scanning and mapping, Nmap usage, Access control implementation, Firewall configuration, VPN setup, Intrusion detection and prevention systems, Network monitoring with Wireshark, Security controls analysis, Critical thinking, Problem solving, Innovation, creativity, Self-awareness, Analytical reasoning, Technical communication, Report writing, Case analysis, Collaboration, Ethical responsibility, Security-focused mindset, Batch scripting, Windows scripting, Nmap, Wireshark, Cryptographic tools, DOS","access control, crytography, firewall configuration, information assurance, it control, risk assessment, scripting","analytical, collaboration, communication, creativity, critical thinking, focus, innovation, logical reasoning, problem solving, responsibility","bash scripting, batch scripting, nmap, wireshark"
CMPSC 160,Distributed Systems,"Distributed Systems Design, System Architecture Design, Multithreaded Processing, Virtualization Setup and Use, Client-Server Computing, Remote Procedure Call Implementation, Message-Oriented Middleware Communication, Network Naming Schemes, Clock Synchronization and Mutual Exclusion, Data Consistency and Replication Management, Fault Tolerance and Resilience Engineering, Cluster Computing Setup and Configuration, Critical Thinking, Analytical, Problem-Solving, Independent Learning, Collaboration, Communication, Innovation, Creativity, Responsibility, Accountability, Research Skills, Decision-Making
, Linux, Socket Programming","distributed systems, middleware, programming, system architecture, virtualization","accountability, analytical, collaboration, communication, creativity, critical thinking, decision making, innovation, management, problem solving, research, resilience, responsibility, time management",linux
CMPSC 172,Data Mining,"Data mining concepts, Knowledge discovery in databases, Data preparation and cleaning, Python data structures, Data comprehension techniques, Pandas library operations, Exploratory data analysis, Data transformation and discretization, Data visualization, Association rule mining , Classification, Dataset integration and feature analysis, Attribute typing and statistical description, Text and categorical data handling, Dataset-driven project implementation, Critical thinking, Problem solving, Self-directed learning, Analytical reasoning, Data-driven storytelling, Communication, collaboration, Innovation, creativity, Technical writing, Project planning and execution, Ethical data interpretation?
, Python, Jupyter notebok","data analysis, data integration, data mining, data structure, data visualization, scripting, virtualization","analytical, collaboration, communication, creativity, critical thinking, innovation, logical reasoning, problem solving, storytelling","jupyter, python"
CMPSC 181,Social Issues & Ethics in Computing,"Ethical theory analysis, Cyberethics application, Ethical dilemma identification, Philippine cyber law application, Case analysis on cybercrime, Legal compliance understanding, Code of conduct advocacy for IT professionals, IT governance in public institutions, Awareness video production using multimedia tools, Online ethics reporting, Synthesis paper writing, Critical thinking, Ethical reasoning, Cultural and global citizenship, Communication, Creativity, innovation, Collaboration, Research and reporting, Self-awareness, Social responsibility, Multimedia production tools
",video production,"collaboration, communication, creativity, critical thinking, innovation, professionalism, research, responsibility",
CMPSC 200B,Thesis Writing,"Problem abstraction and computational modeling, Algorithm design and analysis, Data structure implementation, System architecture specification, Experimental setup and testing, Software development,  debugging, Theoretical framework construction, Mathematical modeling and formal proof, Data preprocessing and transformation, Dataset evaluation and benchmarking, Quantitative analysis and performance comparison, Code optimization, Technical documentation and scientific writing, Research-based tool or algorithm implementation, Critical thinking, Logical reasoning, Analytical problem solving, Research methodology and ethics, Academic writing and citation, Time management, Independent and team-based research, Adaptability, communication, detail oriented, Python, C++,  Java, UML modeling tools, Visual Paradigm, Draw.io","algorithms, data structure, debugging, game development, modeling, software development, system architecture, web development","adaptability, analytical, communication, critical thinking, detail oriented, documentation, logical reasoning, management, problem solving, research, time management","c++, draw.io, java, python, uml, visual paradigm"
CMPSC 199,Practicum,"Software design and implementation, Algorithm development and optimization, Data structure application, Database design and manipulation, Object-oriented programming, Full-stack web development, Mobile app development, Source code versioning with Git, Unit testing and debugging, API design and consumption, Machine learning model deployment, Automation scripting, Data processing and parsing, Code documentation and commenting, System performance analysis and optimization, Problem solving, analytical thinking, Communication, collaboration, Adaptability, Time management, Critical thinking, logical reasoning, Self-motivation, discipline, Professional work ethics and responsibility, Documentation and reporting, Initiative and willingness to learn, detail oriented
, Python, Java, C++, JavaScript, Database tools, MySQL Workbench, SQLite, MongoDB Compass, Frameworks and libraries","algorithms, automation, data structure, database design, debugging, machine learning, mobile app development, object oriented programming, programming, scripting, software design, software testing, web development","adaptability, analytical, collaboration, communication, critical thinking, detail oriented, discipline, documentation, initiative, logical reasoning, logical thinking, management, motivation, problem solving, responsibility, time management, work ethic","actionscript, c++, git, java, javascript, mongodb, mysql, mysql workbench, python, sqlite"
